ID,visitor_id,page_id,date
1,372728,158605,2024-05-29 23:55:28
2,372731,158605,2024-05-29 20:24:45
3,372694,158626,2024-05-29 20:24:47
4,372732,158627,2024-05-29 20:25:32
5,372692,158628,2024-05-29 20:29:02
6,372692,158626,2024-05-29 20:29:03
7,372733,158605,2024-05-29 20:50:46
8,372734,158629,2024-05-29 21:03:22
9,372735,158606,2024-05-29 21:03:35
10,372735,158607,2024-05-29 21:03:36
11,372736,158608,2024-05-29 21:03:43
12,372736,158609,2024-05-29 21:03:43
13,372692,158630,2024-05-29 21:04:50
14,372737,158631,2024-05-29 21:05:02
15,372737,158627,2024-05-29 21:05:02
16,372738,158605,2024-05-29 21:06:53
17,372739,158632,2024-05-29 21:09:03
18,372739,158633,2024-05-29 21:09:04
19,372740,158605,2024-05-29 21:10:44
20,372741,158613,2024-05-29 21:17:02
21,372741,158614,2024-05-29 21:17:03
22,372742,158634,2024-05-29 21:59:06
23,372692,158635,2024-05-29 22:21:57
24,372743,158605,2024-05-29 22:23:14
25,372744,158616,2024-05-29 22:23:18
26,372744,158618,2024-05-29 22:23:18
27,372744,158636,2024-05-29 22:23:19
28,372744,158637,2024-05-29 22:23:20
29,372744,158638,2024-05-29 22:23:21
30,372744,158629,2024-05-29 22:23:21
31,372744,158639,2024-05-29 22:23:22
32,372744,158640,2024-05-29 22:23:22
33,372744,158641,2024-05-29 22:23:22
34,372744,158642,2024-05-29 22:23:25
35,372745,158643,2024-05-29 22:27:36
36,372745,158645,2024-05-29 22:27:37
37,372746,158634,2024-05-29 22:35:50
38,372746,158621,2024-05-29 22:36:49
39,372746,158636,2024-05-29 22:36:39
40,372747,158618,2024-05-29 22:37:57
41,372748,158618,2024-05-29 22:39:49
42,372749,158605,2024-05-29 23:25:32
43,372750,158629,2024-05-29 23:36:41
44,372750,158616,2024-05-29 23:36:56
45,372751,158631,2024-05-29 23:37:57
46,372752,158632,2024-05-29 23:38:43
47,372752,158633,2024-05-29 23:38:49
48,372754,158646,2024-05-30 12:19:20
49,372755,158647,2024-05-30 00:32:37
